Episode,Reward
51,-5.480428
51,-5.019299
51,-9.0796
51,-6.989487
51,-4.813667
51,-4.309966
51,-5.009768
51,-2.251305
240,142.854152
1121,718.013289
51,-4.960595
51,-5.705466
51,-3.776053
51,-8.045614
53,-5.416632
50,-9.396809
1119,790.324431
51,-10.077156
51,-6.305478
52,-11.844641
50,-4.064444
51,-5.444892
51,-5.239333
51,-5.216697
51,-1.493531
51,-4.77344
554,375.864048
51,-7.372001
51,-10.415377
51,-5.668972
51,-6.282152
51,-3.027545
52,-6.55809
1120,774.253016
51,-7.484215
51,-7.738332
51,-5.295328
52,-7.890387
51,-3.783349
51,-4.838594
365,220.434493
51,-8.422555
51,-7.559575
53,-3.382252
52,-6.212724
51,-7.392888
51,-7.301016
51,-4.996177
51,-9.589868
51,-6.732498
51,-3.666856
51,-7.694812
51,-6.480945
51,-6.361246
51,0.184242
611,422.754315
51,-4.597948
51,-4.726627
51,-6.453489
129,39.41557
51,-7.329298
51,-4.874549
51,-4.125709
602,415.121965
51,-6.03022
51,-5.151921
51,-7.643759
51,-5.990153
51,-7.327431
51,-4.673886
51,-4.775856
52,-4.238239
51,-4.058023
51,-4.097153
51,-3.156993
51,-7.013612
51,-6.345502
51,3.419458
51,-7.747937
52,-1.768676
51,-3.11139
51,-9.726813
133,-2.874258
51,-4.245673
53,-3.679584
51,-7.406214
51,-3.301351
51,-4.570376
51,-4.425623
51,-5.324987
51,-4.971835
51,-5.180597
51,0.059383
132,170.291148
51,-6.315019
51,-4.250861
51,-8.771868
51,1.253622
324,648.444455
748,498.843959
739,1413.140189
365,229.317272
51,96.004706
51,-5.371737
51,-6.414072
51,-8.213613
1245,829.489608
51,-2.687622
52,0.820119
51,-4.499689
51,-1.853828
51,-6.50582
51,-5.75988
51,-5.081355
51,-2.889282
101,20.94488
51,-6.040159
51,-9.077099
51,-4.59694
51,-6.395108
51,-7.382484
51,-3.606043
51,-6.094517
51,-7.031613
51,-6.119882
51,-2.047025
51,-5.12684
51,-6.617818
52,-6.377088
51,-3.706189
51,-7.166792
51,-7.936425
624,425.523625
51,-8.635028
679,434.355034
51,-2.530135
51,-9.760723
51,-7.710022
51,-5.317414
51,-7.609789
51,-5.869657
51,-6.980886
51,-4.197292
51,-6.281383
125,20.999517
51,-5.404125
51,-4.401264
51,-5.442833
51,-4.83774
51,-7.990764
51,-4.031003
51,-3.608556
51,-6.089132
51,-3.420422
51,-4.077407
51,-5.722149
101,33.356264
51,-3.688196
51,-7.307093
51,-4.436115
52,-5.575304
51,-4.653361
52,-3.461475
51,-7.048584
51,-2.948112
51,-6.804354
175,80.445435
51,-7.455994
51,-2.8317
51,-7.513939
932,666.02497
51,-5.645843
51,-7.466643
51,-4.610266
51,-5.426636
51,-4.769848
51,-3.676995
51,-3.428233
51,-6.475443
993,694.79154
51,-3.60189
51,-6.072588
51,-6.833385
51,-0.319551
867,619.844818
1120,758.646293
51,-6.925277
51,-1.869981
240,134.400989
51,-4.414564
51,-8.978677
51,-8.531141
51,-5.672225
51,-3.963237
51,-4.22117
