#{"t_start": 1764344138.6677475, "env_id": "None"}
r,l,t
-0.152635,129,3191.977834
15.072167,52,3195.607861
26.810094,108,3202.81627
-37.295945,93,3207.689629
-10.494433,75,3212.250166
9.698929,126,3219.211022
912.476302,449,3242.537944
-3.418652,71,3246.492988
-5.321795,72,3250.924241
16.994697,52,3254.301405
36.571402,89,3260.077739
15.325618,51,3263.467615
15.663809,51,3266.817793
1483.545832,774,3302.209781
556.122636,630,3332.901633
368.339001,835,3372.93918
13.881117,51,3376.309128
14.979945,51,3379.826906
8.247988,51,3383.425519
-5.111546,92,3388.523642
1.698152,71,3393.069716
13.156675,51,3397.378878
12.828379,51,3400.748435
248.738719,456,3425.190083
11.577945,51,3429.204643
60.858461,173,3439.416932
-3.270432,119,3446.464721
14.251218,53,3450.163749
313.17541,410,3470.726136
-4.752884,156,3480.155012
9.986983,51,3483.508878
11.984596,51,3486.881938
8.229361,107,3492.680237
357.12222,615,3526.455703
-11.936629,101,3532.221932
-26.372981,123,3538.385751
10.819182,51,3542.178687
404.832829,509,3565.123949
4.339894,228,3577.170817
12.894836,51,3581.210839
1.744381,51,3584.589713
10.43826,51,3588.187853
12.918969,51,3591.726233
479.255809,670,3625.212395
13.670275,79,3629.527776
6.328246,51,3632.80845
9.561012,51,3635.89161
12.983713,104,3641.845797
10.90645,51,3645.171185
95.685218,573,3673.998021
18.085512,153,3681.914772
-2.493441,86,3687.054288
798.050446,1568,3764.475915
15.969956,169,3772.593022
786.200642,1236,3836.829104
11.191938,51,3839.910071
-11.385312,165,3848.310412
317.981859,566,3878.235953
316.821458,521,3905.481462
37.614388,374,3922.962281
903.385629,1195,3979.063446
12.914212,51,3982.681134
12.326196,51,3986.93092
13.323442,66,3991.275912
41.807349,174,4000.808167
209.683876,322,4018.18811
13.215442,51,4021.949487
164.452762,490,4047.33572
12.775684,51,4050.807369
142.767391,231,4063.475414
730.988316,814,4102.328631
33.990486,163,4111.1936
1581.58459,2526,4224.207421
37.331706,69,4228.28204
17.190564,196,4238.278823
12.973041,51,4241.736054
2398.51276,1412,4314.346098
373.964657,513,4337.439534
123.589164,224,4350.011322
378.012404,685,4381.127271
12.503522,51,4384.359685
11.224941,51,4387.610375
11.152571,51,4391.123523
686.791819,764,4426.372912
436.069609,559,4454.278677
301.987917,453,4478.040284
12.096647,51,4481.368455
271.229739,447,4506.447048
10.871242,51,4509.631654
71.32247,243,4521.881674
12.025619,51,4525.739412
268.402681,466,4549.346909
19.779444,160,4558.400496
760.251839,1208,4616.27755
12.19993,51,4619.478823
1295.692663,1460,4690.586618
73.236847,118,4697.184677
779.326635,1294,4764.070232
778.867898,1025,4810.929631
217.352533,263,4823.986034
836.606154,1123,4880.23889
35.245002,171,4888.936316
184.237843,468,4910.480638
904.75826,1048,4958.074366
-30.253394,136,4965.428946
6.502862,51,4968.766009
689.992674,1289,5028.438284
3041.353855,2242,5142.423986
25.631456,99,5148.204481
1612.422163,1616,5226.218112
-24.558757,95,5231.72857
603.94906,1472,5305.67674
3294.676106,2403,5418.278287
-12.765246,112,5425.618512
85.943586,224,5437.141572
-15.015416,51,5440.736111
147.808504,222,5452.686381
1583.968336,2364,5562.421095
838.698226,920,5605.397074
1063.549261,2219,5712.852631
2233.465803,3324,5876.697629
81.913375,199,5887.253126
1958.966154,3500,6063.068839
2227.294457,2289,6171.133547
1173.143137,1286,6235.546045
1984.815442,1879,6329.427878
2068.089432,2253,6436.368387
1741.166334,2359,6548.678931
1075.593545,1786,6635.103066
1252.537555,1587,6710.197913
2267.26638,3000,6848.691827
450.473767,514,6872.554013
1446.951466,1264,6931.681206
336.947971,645,6963.559097
1735.378862,2472,7090.002006
1441.019221,1945,7191.622394
15.704015,51,7194.951612
2864.41814,3500,7376.082504
370.5691,480,7401.379969
425.764913,483,7426.032931
1012.901554,1418,7495.858414
125.93641,298,7512.008676
12.075648,51,7515.30565
1994.755339,3500,7684.536174
294.402556,330,7702.690958
28.539753,199,7712.54075
2291.421091,3500,7867.028858
784.081277,1030,7918.05846
340.314578,1051,7966.192097
289.794881,357,7983.405921
1976.023862,2958,8122.380743
800.890557,1213,8184.265958
10.886868,51,8188.014261
217.935087,303,8203.239007
1405.24553,1912,8293.216626
12.715151,51,8296.788811
152.570005,274,8310.795067
14.536276,51,8315.343161
14.808778,51,8318.839866
2115.973098,2056,8413.223907
348.27498,1131,8466.995466
5272.305606,3500,8635.10178
14.8197,51,8638.115501
4218.038697,3500,8813.414219
15.154387,51,8816.770771
1440.274221,1392,8885.092187
495.513535,679,8920.87497
873.312859,750,8955.530721
310.944614,443,8977.090003
678.19458,968,9025.218949
3331.796065,3500,9195.521224
9.389652,51,9198.704781
1027.967186,1519,9278.451558
216.511209,349,9295.682127
8.593303,51,9299.497939
1262.237917,1443,9369.155884
3748.047868,3363,9539.303105
-15.269351,117,9545.505382
632.791754,632,9574.971592
3448.655996,3287,9726.922828
1902.930353,2079,9825.2487
1169.83585,1176,9880.409239
88.964505,176,9888.835045
584.206967,923,9933.05554
497.020621,644,9964.110058
3419.575614,3500,10143.957086
587.448729,722,10180.892462
3210.227213,3500,10348.212727
3694.23804,3500,10554.31936
4311.005051,3078,10699.263952
537.993687,551,10726.906335
3882.539885,3500,10892.022966
3520.91798,3500,11065.894189
620.263554,922,11112.053363
1080.724252,1015,11157.31986
-43.581192,73,11161.57067
1609.906835,1695,11249.544564
3552.110245,3500,11423.968792
489.558545,568,11451.420857
1301.009423,1326,11518.852293
1079.920829,913,11561.477332
2021.935825,1739,11642.055769
3690.687447,3500,11802.842813
1394.51902,1721,11891.794218
119.383936,337,11908.476746
828.123084,676,11940.077006
390.284874,380,11959.602906
461.482929,560,11985.677819
2822.446438,2460,12105.896826
1977.637696,3089,12247.821306
4164.991827,3500,12409.532662
552.372916,622,12440.779054
3725.909964,3500,12608.598341
3766.534664,3500,12769.684366
1944.101582,2029,12873.450085
4320.593079,3500,13050.732061
4048.38419,3500,13221.31359
4230.971632,3500,13406.87703
1563.003521,1755,13490.535951
3778.611244,3500,13660.238803
870.849437,742,13696.092978
453.675234,748,13735.888729
4150.754335,3500,13903.659592
2225.97179,2849,14032.614167
2545.103932,2794,14166.597425
2800.271252,2299,14267.365341
1792.275312,1684,14345.355467
3928.921303,3500,14515.844522
3770.174166,3500,14679.581209
